customer_city,order_count,revenue
presidente epitacio,23,3014.15
rancharia,21,3006.84
irati,22,2994.16
palmeira,15,2994.12
vitoria de santo antao,15,2988.47
sao raimundo nonato,7,2987.04
ouro fino,16,2978.2200000000003
santiago,26,2974.7
itaporanga,14,2971.05
capelinha,19,2968.12
coromandel,25,2956.71
nova venecia,19,2956.59
feliz,14,2947.8500000000004
espinosa,6,2947.44
colider,8,2943.95
codo,7,2943.12
morrinhos,18,2929.51
itapiranga,11,2921.8900000000003
nanuque,25,2920.75
piedade,22,2919.16
buritizeiro,8,2911.23
diamantina,27,2907.93
dois vizinhos,27,2881.38
veranopolis,18,2878.08
abreu e lima,11,2871.92
monte alto,32,2870.52
piracaia,21,2866.91
monte siao,20,2866.44
bom jardim,16,2862.4900000000002
pacaja,6,2860.9599999999996
icara,21,2850.9
bonfim paulista,18,2850.17
missal,7,2838.99
cravinhos,24,2838.32
barra de sao joao,13,2835.38
tapiratiba,12,2835.28
sao gabriel,23,2829.82
iguaba grande,19,2829.65
manhumirim,16,2817.5299999999997
joao pinheiro,16,2814.03
sao francisco,18,2812.23
nossa senhora do socorro,14,2809.56
paragominas,18,2803.86
taquarituba,15,2799.3500000000004
canela,17,2798.2599999999998
brumadinho,26,2795.25
presidente dutra,14,2792.98
vilhena,16,2791.92
aguas lindas de goias,24,2788.8
ararangua,18,2786.7400000000002
crateus,9,2779.4
santa cruz do capibaribe,11,2777.52
aparecida do taboado,7,2768.61
vacaria,21,2768.24
cantagalo,21,2758.09
cafelandia,19,2757.71
anchieta,17,2745.38
inhumas,16,2733.51
tiangua,9,2732.68
ouricuri,8,2730.73
araujos,5,2711.2200000000003
eusebio,13,2707.57
cornelio procopio,24,2705.58
querencia,10,2701.95
laguna,14,2696.25
ilha solteira,24,2694.73
americo brasiliense,17,2688.89
triunfo,14,2675.96
irece,13,2660.91
goiatuba,10,2648.12
socorro,19,2640.22
guarani,7,2634.31
marau,22,2631.98
serra talhada,10,2625.95
sao borja,18,2616.8900000000003
ipora,17,2616.8
riachao do jacuipe,5,2613.59
queimadas,9,2608.5099999999998
caxias,16,2604.15
carpina,10,2600.23
paty do alferes,13,2597.71
sao fidelis,23,2597.42
piuma,17,2590.17
tres pontas,19,2587.99
petrolandia,14,2587.77
laranjal paulista,17,2583.82
